,School Name,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,AvgScrTotal,NumGE21,PctGE21,Adult Ed. HS Diploma (Count),Adult Ed. HS Diploma (Rate),AggregateLevel,County Name,District Name,Dropout (Count),Dropout (Rate),"Enrollment 
(Ages 5-17)","Enrollment 
(K-12)","FRPM Count 
(Ages 5-17)","FRPM Count 
(K-12)","Free Meal 
Count 
(Ages 5-17)","Free Meal 
Count 
(K-12)",GED Completer (Count),GED Completer (Rate),Golden State Seal Merit Diploma (Count),Golden State Seal Merit Diploma (Rate,Met UC/CSU Grad Req's (Rate),PctGE21,"Percent (%) 
Eligible FRPM 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(K-12)","Percent (%) 
Eligible Free 
(Ages 5-17)","Percent (%) 
Eligible Free 
(K-12)",Regular HS Diploma Graduates (Count),Regular HS Diploma Graduates (Rate)
100776,Junipero Serra High,Capistrano Unified,Orange,95,2,,,,,,,,0.0,0.0,,,,1.0,2.0,146,161,101,111,96,105,0.0,0.0,0.0,0.0,0.0,,0.691780822,0.689440994,0.6575342470000001,0.6521739129999999,47.0,94.0
100828,San Clemente High,Capistrano Unified,Orange,701,305,25.0,25.0,24.0,24.0,24.5,245.0,80.33,0.0,0.0,,,,2.0,0.6,2873,3026,713,743,625,652,0.0,0.0,161.0,47.8,66.8,80.33,0.248172642,0.245538665,0.217542638,0.21546596199999998,337.0,97.4
100896,Dana Hills High,Capistrano Unified,Orange,625,237,26.0,26.0,25.0,25.0,25.5,201.0,84.81,0.0,0.0,,,,2.0,0.6,2454,2588,634,652,562,578,0.0,0.0,140.0,44.3,62.3,84.81,0.258353708,0.251931994,0.229013855,0.223338485,316.0,96.9
101012,Buena Park High,Fullerton Joint Union High,Orange,445,58,18.0,20.0,19.0,18.0,18.75,20.0,34.48,0.0,0.0,,,,6.0,2.9,1912,1983,1544,1599,1298,1342,0.0,0.0,46.0,22.8,46.0,34.48,0.807531381,0.8063540090000001,0.678870293,0.676752395,202.0,96.2
101076,Fullerton Union High,Fullerton Joint Union High,Orange,517,74,24.0,25.0,24.0,23.0,24.0,53.0,71.62,0.0,0.0,,,,1.0,0.4,1983,2024,1044,1070,903,926,0.0,0.0,91.0,36.1,55.6,71.62,0.526475038,0.528656126,0.455370651,0.457509881,252.0,98.4
101140,La Habra High,Fullerton Joint Union High,Orange,556,51,22.0,23.0,22.0,21.0,22.0,27.0,52.94,0.0,0.0,,,,1.0,0.4,2145,2194,1091,1113,906,923,0.0,0.0,97.0,39.3,59.9,52.94,0.508624709,0.507292616,0.422377622,0.420692799,247.0,99.2
101200,Sonora High,Fullerton Joint Union High,Orange,502,100,23.0,24.0,23.0,23.0,23.25,68.0,68.0,0.0,0.0,,,,0.0,0.0,1892,1941,943,959,811,826,0.0,0.0,97.0,38.0,52.2,68.0,0.498414376,0.494075219,0.428646934,0.42555383799999996,255.0,99.6
101680,Sunny Hills High,Fullerton Joint Union High,Orange,575,180,27.0,26.0,27.0,26.0,26.5,152.0,84.44,0.0,0.0,,,,1.0,0.3,2198,2244,762,777,641,653,0.0,0.0,125.0,41.7,73.7,84.44,0.346678799,0.346256684,0.291628753,0.290998217,300.0,99.7
101740,Troy High,Fullerton Joint Union High,Orange,693,207,30.0,29.0,30.0,29.0,29.5,193.0,93.24,0.0,0.0,,,,0.0,0.0,2649,2696,808,824,670,684,0.0,0.0,204.0,62.0,84.2,93.24,0.30502076300000003,0.305637982,0.252925632,0.253709199,329.0,97.1
101800,Bolsa Grande High,Garden Grove Unified,Orange,538,74,21.0,22.0,22.0,21.0,21.5,45.0,60.81,0.0,0.0,,,,22.0,7.9,1986,2016,1462,1486,1319,1342,0.0,0.0,69.0,27.5,70.1,60.81,0.736153072,0.737103175,0.664149043,0.6656746029999999,251.0,90.6
101868,Garden Grove High,Garden Grove Unified,Orange,643,123,23.0,23.0,22.0,22.0,22.5,77.0,62.6,0.0,0.0,,,,18.0,5.6,2322,2345,1561,1578,1378,1392,0.0,0.0,52.0,17.1,62.8,62.6,0.672265289,0.672921109,0.593453919,0.593603412,304.0,93.8
101932,La Quinta High,Garden Grove Unified,Orange,554,245,23.0,22.0,24.0,23.0,23.0,170.0,69.39,0.0,0.0,,,,15.0,5.6,2188,2211,1433,1447,1251,1264,0.0,0.0,81.0,32.4,76.8,69.39,0.654936015,0.654454998,0.571755027,0.571687019,250.0,92.6
102460,Los Amigos High,Garden Grove Unified,Orange,463,217,17.0,18.0,19.0,19.0,18.25,64.0,29.49,0.0,0.0,,,,28.0,10.4,1766,1812,1454,1496,1356,1395,0.0,0.0,35.0,14.8,63.1,29.49,0.823329558,0.8256070640000001,0.76783692,0.76986755,236.0,88.1
102524,Pacifica High,Garden Grove Unified,Orange,436,59,23.0,23.0,24.0,23.0,23.25,43.0,72.88,0.0,0.0,,,,9.0,4.3,1636,1660,632,639,539,546,0.0,0.0,54.0,27.3,73.2,72.88,0.38630806799999995,0.384939759,0.329462103,0.328915663,198.0,95.2
103036,Rancho Alamitos High,Garden Grove Unified,Orange,429,7,,,,,,,,0.0,0.0,,,,17.0,8.3,1777,1818,1294,1324,1201,1230,0.0,0.0,31.0,17.0,61.0,,0.728193585,0.7282728270000001,0.675858188,0.676567657,182.0,88.8
103100,Santiago High,Garden Grove Unified,Orange,481,47,20.0,21.0,20.0,21.0,20.5,23.0,48.94,0.0,0.0,,,,14.0,6.2,1997,2037,1628,1660,1505,1536,0.0,0.0,44.0,21.2,63.5,48.94,0.8152228340000001,0.8149239079999999,0.753630446,0.754050074,208.0,92.0
103644,Ocean View High,Huntington Beach Union High,Orange,382,80,24.0,24.0,22.0,23.0,23.25,56.0,70.0,0.0,0.0,,,,4.0,2.2,1303,1378,762,806,712,754,0.0,0.0,68.0,38.6,44.3,70.0,0.584804298,0.58490566,0.5464313120000001,0.5471698110000001,176.0,94.6
103768,Fountain Valley High,Huntington Beach Union High,Orange,941,202,26.0,26.0,26.0,25.0,25.75,176.0,87.13,0.0,0.0,,,,1.0,0.2,3550,3612,1154,1177,1005,1028,0.0,0.0,207.0,45.0,67.2,87.13,0.325070423,0.32585825,0.283098592,0.284606866,460.0,97.3
103836,Huntington Beach High,Huntington Beach Union High,Orange,682,241,25.0,25.0,24.0,24.0,24.5,187.0,77.59,0.0,0.0,,,,6.0,1.6,2853,2954,525,539,489,502,0.0,0.0,157.0,43.3,62.8,77.59,0.184016824,0.182464455,0.171398528,0.16993906600000003,363.0,97.1
103900,Westminster High,Huntington Beach Union High,Orange,722,69,21.0,22.0,24.0,22.0,22.25,49.0,71.01,0.0,0.0,,,,13.0,3.7,2746,2826,2184,2248,1960,2021,0.0,0.0,102.0,31.6,48.3,71.01,0.795338674,0.79547063,0.713765477,0.715145081,323.0,90.7
103964,Laguna Beach High,Laguna Beach Unified,Orange,268,177,28.0,27.0,26.0,26.0,26.75,156.0,88.14,0.0,0.0,,,,2.0,1.6,1047,1084,131,133,123,125,0.0,0.0,61.0,48.4,81.0,88.14,0.125119389,0.12269372699999999,0.11747851,0.115313653,126.0,97.7
104032,Early College High,Newport-Mesa Unified,Orange,55,40,22.0,22.0,22.0,22.0,22.0,23.0,57.5,0.0,0.0,,,,0.0,0.0,198,203,133,137,115,119,0.0,0.0,16.0,50.0,84.4,57.5,0.671717172,0.6748768470000001,0.580808081,0.5862068970000001,32.0,100.0
104080,Estancia High,Newport-Mesa Unified,Orange,291,15,24.0,22.0,21.0,22.0,22.25,10.0,66.67,0.0,0.0,,,,1.0,0.8,1188,1269,862,909,791,834,0.0,0.0,27.0,24.1,63.4,66.67,0.725589226,0.716312057,0.665824916,0.657210402,112.0,94.9
104148,Newport Harbor High,Newport-Mesa Unified,Orange,513,275,24.0,23.0,23.0,23.0,23.25,191.0,69.45,0.0,0.0,,,,9.0,3.5,2261,2335,817,833,753,769,0.0,0.0,85.0,36.0,59.7,69.45,0.361344538,0.35674518200000005,0.333038479,0.32933618800000003,236.0,91.1
104208,El Modena High,Orange Unified,Orange,515,60,26.0,26.0,25.0,24.0,25.25,47.0,78.33,0.0,0.0,,,,12.0,4.9,2060,2133,1003,1034,912,940,0.0,0.0,79.0,33.9,55.4,78.33,0.48689320399999997,0.484763244,0.442718447,0.440693858,233.0,94.7
104280,Orange High,Orange Unified,Orange,423,6,,,,,,,,0.0,0.0,,,,6.0,2.9,1726,1772,1332,1359,1215,1239,0.0,0.0,19.0,9.4,37.9,,0.771726535,0.766930023,0.703939745,0.699209932,203.0,97.1
104340,Villa Park High,Orange Unified,Orange,608,107,26.0,26.0,25.0,25.0,25.5,86.0,80.37,0.0,0.0,,,,9.0,3.3,2261,2342,771,792,708,729,0.0,0.0,58.0,22.0,61.4,80.37,0.340999558,0.33817250200000004,0.313135781,0.31127241699999997,264.0,96.0
104404,Yorba Linda High,Placentia-Yorba Linda Unified,Orange,470,161,25.0,25.0,25.0,24.0,24.75,128.0,79.5,0.0,0.0,,,,0.0,0.0,1748,1795,225,234,200,207,0.0,0.0,113.0,50.0,73.5,79.5,0.128718535,0.130362117,0.114416476,0.11532033400000001,226.0,99.6
104464,Esperanza High,Placentia-Yorba Linda Unified,Orange,428,86,24.0,25.0,25.0,23.0,24.25,64.0,74.42,0.0,0.0,,,,3.0,1.5,1606,1664,363,374,305,315,0.0,0.0,70.0,35.5,60.4,74.42,0.226027397,0.224759615,0.189912827,0.189302885,197.0,95.6
104564,La Entrada High,Placentia-Yorba Linda Unified,Orange,40,6,,,,,,,,0.0,0.0,,,,1.0,3.4,63,69,16,19,15,18,0.0,0.0,6.0,22.2,3.7,,0.253968254,0.27536231899999997,0.23809523800000001,0.260869565,27.0,93.1
104616,Nova Academy,Santa Ana Unified,Orange,80,31,19.0,20.0,18.0,18.0,18.75,9.0,29.03,0.0,0.0,,,,0.0,0.0,395,406,346,356,316,324,0.0,0.0,12.0,30.0,87.5,29.03,0.875949367,0.8768472909999999,0.8,0.798029557,40.0,100.0
104660,Segerstrom High,Santa Ana Unified,Orange,651,660,16.0,18.0,18.0,17.0,17.25,138.0,20.91,0.0,0.0,,,,5.0,1.5,2367,2452,1528,1587,1312,1365,0.0,0.0,169.0,54.3,67.5,20.91,0.645542881,0.647226754,0.5542881279999999,0.556688418,311.0,96.3
104724,Hector G. Godinez,Santa Ana Unified,Orange,635,164,18.0,19.0,20.0,19.0,19.0,51.0,31.1,0.0,0.0,,,,2.0,0.6,2432,2540,2056,2152,1850,1937,0.0,0.0,224.0,68.3,75.6,31.1,0.845394737,0.8472440940000001,0.7606907890000001,0.762598425,328.0,98.5
104784,Century High,Santa Ana Unified,Orange,408,21,18.0,19.0,19.0,19.0,18.75,7.0,33.33,0.0,0.0,,,,1.0,6.3,109,115,87,91,77,81,0.0,0.0,0.0,0.0,0.0,33.33,0.798165138,0.7913043479999999,0.7064220179999999,0.7043478259999999,15.0,93.8
105008,Santa Ana High,Santa Ana Unified,Orange,581,73,17.0,18.0,18.0,18.0,17.75,17.0,23.29,0.0,0.0,,,,12.0,4.2,2821,2963,2421,2538,2298,2410,0.0,0.0,119.0,44.2,43.5,23.29,0.85820631,0.8565642929999999,0.81460475,0.813364833,269.0,93.1
105068,Valley High,Santa Ana Unified,Orange,424,46,17.0,18.0,18.0,18.0,17.75,10.0,21.74,0.0,0.0,,,,3.0,6.5,141,145,126,130,118,122,0.0,0.0,0.0,0.0,0.0,21.74,0.893617021,0.896551724,0.836879433,0.84137931,42.0,91.3
106700,El Toro High,Saddleback Valley Unified,Orange,604,171,23.0,24.0,24.0,24.0,23.75,128.0,74.85,0.0,0.0,,,,8.0,2.6,2355,2436,671,704,600,631,0.0,0.0,97.0,33.9,62.2,74.85,0.28492569,0.288998358,0.25477707,0.259031199,286.0,94.1
106768,Laguna Hills High,Saddleback Valley Unified,Orange,412,147,25.0,26.0,25.0,24.0,25.0,118.0,80.27,0.0,0.0,,,,6.0,3.1,1529,1599,587,607,528,547,0.0,0.0,86.0,46.5,60.0,80.27,0.38391105299999995,0.379612258,0.345323741,0.342088806,185.0,94.9
106836,Trabuco Hills High,Saddleback Valley Unified,Orange,707,201,26.0,26.0,25.0,25.0,25.5,170.0,84.58,0.0,0.0,,,,2.0,0.6,2732,2830,495,517,435,456,0.0,0.0,142.0,44.9,67.7,84.58,0.181185944,0.182685512,0.159224012,0.161130742,316.0,96.9
106908,Mission Viejo High,Saddleback Valley Unified,Orange,559,195,25.0,25.0,24.0,24.0,24.5,151.0,77.44,0.0,0.0,,,,0.0,0.0,2124,2221,523,542,463,480,0.0,0.0,68.0,25.5,60.3,77.44,0.24623352199999998,0.244034219,0.217984934,0.216118865,267.0,99.6
106976,Arnold O. Beckman High,Tustin Unified,Orange,684,299,28.0,26.0,27.0,26.0,26.75,261.0,87.29,0.0,0.0,,,,1.0,0.3,2919,2987,717,735,621,638,0.0,0.0,156.0,45.9,79.1,87.29,0.245632066,0.246066287,0.21274409,0.21359223300000002,340.0,98.0
107040,Tustin High,Tustin Unified,Orange,595,179,19.0,20.0,20.0,20.0,19.75,75.0,41.9,0.0,0.0,,,,2.0,0.7,2300,2373,1544,1584,1309,1346,0.0,0.0,77.0,26.9,72.7,41.9,0.6713043479999999,0.667509482,0.569130435,0.5672144960000001,286.0,97.9
107108,Irvine High,Irvine Unified,Orange,521,157,27.0,26.0,28.0,26.0,26.75,129.0,82.17,0.0,0.0,,,,3.0,1.2,2005,2055,514,531,471,487,0.0,0.0,111.0,44.2,66.9,82.17,0.256359102,0.258394161,0.23491271800000002,0.23698296800000002,251.0,97.7
107176,Woodbridge High,Irvine Unified,Orange,610,228,28.0,28.0,28.0,27.0,27.75,211.0,92.54,0.0,0.0,,,,6.0,2.0,2364,2427,538,550,472,480,0.0,0.0,150.0,52.1,76.7,92.54,0.227580372,0.226617223,0.19966159100000003,0.19777503100000002,288.0,98.0
107244,Northwood High,Irvine Unified,Orange,616,322,29.0,28.0,29.0,28.0,28.5,302.0,93.79,0.0,0.0,,,,0.0,0.0,2198,2245,337,344,299,306,0.0,0.0,207.0,65.3,83.9,93.79,0.153321201,0.15322939900000002,0.136032757,0.136302895,317.0,98.4
107308,Los Alamitos High,Los Alamitos Unified,Orange,829,320,26.0,26.0,25.0,24.0,25.25,259.0,80.94,0.0,0.0,,,,3.0,0.7,3160,3235,548,555,452,458,1.0,0.2,167.0,40.0,85.9,80.94,0.173417722,0.17156105100000002,0.143037975,0.141576507,417.0,97.9
107372,Foresthill High,Placer Union High,Placer,41,1,,,,,,,,0.0,0.0,,,,0.0,0.0,202,207,77,79,69,69,0.0,0.0,9.0,56.3,68.8,,0.381188119,0.38164251200000004,0.34158415799999997,0.333333333,16.0,100.0
107460,Colfax High,Placer Union High,Placer,146,50,24.0,26.0,24.0,24.0,24.5,44.0,88.0,0.0,0.0,,,,0.0,0.0,589,601,181,184,154,156,0.0,0.0,33.0,54.1,67.2,88.0,0.307300509,0.306156406,0.26146010199999997,0.259567388,61.0,100.0
107508,Del Oro High,Placer Union High,Placer,424,134,23.0,24.0,24.0,23.0,23.5,103.0,76.87,0.0,0.0,,,,0.0,0.0,1696,1752,267,279,235,245,0.0,0.0,121.0,58.2,81.3,76.87,0.157429245,0.159246575,0.138561321,0.139840183,208.0,99.5
107576,Placer High,Placer Union High,Placer,305,48,24.0,25.0,24.0,23.0,24.0,39.0,81.25,0.0,0.0,,,,1.0,0.6,1230,1306,392,418,351,371,0.0,0.0,68.0,46.9,66.2,81.25,0.318699187,0.320061256,0.285365854,0.284073507,145.0,93.5
107636,Antelope High,Roseville Joint Union High,Placer,444,122,21.0,23.0,22.0,22.0,22.0,75.0,61.48,0.0,0.0,,,,5.0,2.4,1796,1839,900,924,745,766,0.0,0.0,0.0,0.0,78.5,61.48,0.501113586,0.502446982,0.41481069,0.416530723,200.0,95.7
107700,Woodcreek High,Roseville Joint Union High,Placer,511,122,24.0,25.0,24.0,24.0,24.25,99.0,81.15,0.0,0.0,,,,10.0,4.1,2055,2122,370,384,302,314,0.0,0.0,0.0,0.0,75.2,81.15,0.180048662,0.180961357,0.146958637,0.14797361,234.0,95.1
107768,Granite Bay High,Roseville Joint Union High,Placer,519,214,26.0,26.0,26.0,25.0,25.75,189.0,88.32,0.0,0.0,,,,11.0,4.7,1987,2046,200,204,175,178,0.0,0.0,0.0,0.0,83.3,88.32,0.10065425300000001,0.099706745,0.088072471,0.086999022,222.0,94.1
107824,Oakmont High,Roseville Joint Union High,Placer,442,91,23.0,26.0,24.0,24.0,24.25,65.0,71.43,0.0,0.0,,,,9.0,4.8,1936,1989,510,532,430,445,0.0,0.0,0.0,0.0,77.7,71.43,0.263429752,0.267471091,0.22210743800000002,0.22373051800000002,179.0,95.2
107892,Roseville High,Roseville Joint Union High,Placer,527,183,22.0,23.0,22.0,21.0,22.0,105.0,57.38,0.0,0.0,,,,34.0,12.3,1939,1985,583,608,484,505,0.0,0.0,0.0,0.0,63.9,57.38,0.300670449,0.306297229,0.249613203,0.25440806,241.0,87.0
107960,North Tahoe High,Tahoe-Truckee Unified,Placer,64,22,25.0,25.0,23.0,23.0,24.0,17.0,77.27,0.0,0.0,,,,0.0,0.0,402,408,172,175,143,145,0.0,0.0,0.0,0.0,81.8,77.27,0.427860697,0.428921569,0.355721393,0.35539215700000004,33.0,100.0
108004,Tahoe Truckee High,Tahoe-Truckee Unified,Placer,160,45,24.0,24.0,23.0,24.0,23.75,32.0,71.11,0.0,0.0,,,,1.0,1.2,701,728,234,245,194,203,0.0,0.0,35.0,42.2,68.7,71.11,0.333808845,0.33653846200000004,0.276747504,0.278846154,83.0,98.8
108052,Lincoln High,Western Placer Unified,Placer,436,62,25.0,25.0,24.0,24.0,24.5,48.0,77.42,0.0,0.0,,,,7.0,3.1,1903,1952,556,576,482,499,0.0,0.0,72.0,33.2,48.8,77.42,0.292170257,0.295081967,0.253284288,0.25563524600000004,217.0,96.4
109852,Whitney High,Rocklin Unified,Placer,436,149,24.0,24.0,24.0,24.0,24.0,111.0,74.5,0.0,0.0,,,,0.0,0.0,1820,1866,341,353,284,294,0.0,0.0,85.0,40.9,82.7,74.5,0.187362637,0.189174705,0.15604395599999998,0.15755627,208.0,99.0
109916,Rocklin High,Rocklin Unified,Placer,464,175,25.0,26.0,25.0,25.0,25.25,147.0,84.0,0.0,0.0,,,,0.0,0.0,1994,2072,295,302,236,241,0.0,0.0,109.0,51.2,70.4,84.0,0.147943831,0.145752896,0.118355065,0.116312741,213.0,100.0
110072,Hillcrest High,Alvord Unified,Riverside,442,29,22.0,21.0,23.0,22.0,22.0,19.0,65.52,0.0,0.0,,,,1.0,0.5,1689,1736,998,1029,806,830,0.0,0.0,72.0,37.5,56.3,65.52,0.590882179,0.592741935,0.477205447,0.47811059899999997,192.0,98.0
110136,La Sierra High,Alvord Unified,Riverside,413,68,19.0,20.0,19.0,19.0,19.25,21.0,30.88,0.0,0.0,,,,3.0,1.4,1780,1842,1345,1398,1115,1160,0.0,0.0,44.0,22.1,49.7,30.88,0.755617978,0.758957655,0.626404494,0.629750271,199.0,96.1
110360,Norte Vista High,Alvord Unified,Riverside,505,97,19.0,20.0,19.0,19.0,19.25,32.0,32.99,0.0,0.0,,,,9.0,3.3,2081,2144,1807,1859,1564,1608,0.0,0.0,62.0,24.3,51.8,32.99,0.868332532,0.867070896,0.7515617490000001,0.75,255.0,94.8
110420,Banning High,Banning Unified,Riverside,231,58,19.0,20.0,20.0,19.0,19.5,21.0,36.21,0.0,0.0,,,,6.0,5.7,985,1019,818,842,724,745,0.0,0.0,0.0,0.0,38.5,36.21,0.8304568529999999,0.826300294,0.7350253809999999,0.73110893,96.0,90.6
110488,Beaumont Senior High,Beaumont Unified,Riverside,597,56,19.0,21.0,19.0,19.0,19.5,28.0,50.0,0.0,0.0,,,,8.0,2.6,2741,2827,1618,1666,1201,1241,0.0,0.0,139.0,47.4,64.8,50.0,0.5902955129999999,0.589317297,0.438161255,0.43898125200000004,293.0,94.5
110556,Eleanor Roosevelt High,Corona-Norco Unified,Riverside,1019,250,21.0,22.0,22.0,22.0,21.75,147.0,58.8,0.0,0.0,,,,2.0,0.4,4312,4398,1659,1702,1248,1283,0.0,0.0,0.0,0.0,68.4,58.8,0.38474026,0.38699408799999996,0.28942486100000003,0.291723511,484.0,98.0
110624,Corona High,Corona-Norco Unified,Riverside,622,128,18.0,20.0,19.0,19.0,19.0,40.0,31.25,0.0,0.0,,,,3.0,1.0,2549,2626,1648,1691,1372,1404,0.0,0.0,0.0,0.0,51.9,31.25,0.64652805,0.643945164,0.538250294,0.534653465,285.0,98.6
110688,Norco High,Corona-Norco Unified,Riverside,459,82,21.0,22.0,22.0,21.0,21.5,48.0,58.54,0.0,0.0,,,,4.0,1.7,1999,2034,856,871,684,695,0.0,0.0,0.0,0.0,9.4,58.54,0.428214107,0.428220256,0.342171086,0.341691249,233.0,97.5
110748,Shadow Hills High,Desert Sands Unified,Riverside,466,54,19.0,19.0,19.0,19.0,19.0,14.0,25.93,0.0,0.0,,,,2.0,0.8,2047,2100,1332,1364,1097,1127,0.0,0.0,47.0,20.3,78.0,25.93,0.6507083539999999,0.64952381,0.535906204,0.536666667,232.0,98.3
110812,Palm Desert High,Desert Sands Unified,Riverside,468,103,22.0,23.0,22.0,22.0,22.25,62.0,60.19,0.0,0.0,,,,1.0,0.5,1903,1972,888,926,769,800,0.0,0.0,45.0,21.7,51.2,60.19,0.46663163399999996,0.46957403700000006,0.404098791,0.405679513,207.0,98.6
110884,Indio High,Desert Sands Unified,Riverside,375,62,18.0,19.0,17.0,18.0,18.0,14.0,22.58,0.0,0.0,,,,3.0,1.6,1924,1986,1709,1760,1545,1588,0.0,0.0,30.0,16.7,47.8,22.58,0.888253638,0.8862034240000001,0.803014553,0.79959718,180.0,97.3
110948,Tahquitz High,Hemet Unified,Riverside,394,20,20.0,23.0,21.0,21.0,21.25,9.0,45.0,0.0,0.0,,,,1.0,0.6,1544,1611,1223,1275,1090,1138,0.0,0.0,35.0,21.1,53.0,45.0,0.7920984459999999,0.791433892,0.7059585490000001,0.7063935440000001,166.0,97.6
111012,Helen Hunt Jackson College Prep High School,Hemet Unified,Riverside,99,1,,,,,,,,0.0,0.0,,,,9.0,15.5,261,280,194,207,179,191,0.0,0.0,3.0,7.1,21.4,,0.7432950190000001,0.7392857140000001,0.685823755,0.682142857,42.0,72.4
111072,West Valley High,Hemet Unified,Riverside,396,79,18.0,19.0,18.0,19.0,18.5,21.0,26.58,0.0,0.0,,,,6.0,3.2,1679,1755,1418,1485,1197,1258,0.0,0.0,31.0,17.5,50.3,26.58,0.844550328,0.846153846,0.71292436,0.716809117,177.0,93.7
111584,Hemet High,Hemet Unified,Riverside,567,21,20.0,22.0,20.0,20.0,20.5,9.0,42.86,0.0,0.0,,,,4.0,1.5,2301,2396,1593,1665,1382,1449,0.0,0.0,62.0,24.7,62.5,42.86,0.692307692,0.69490818,0.600608431,0.60475793,251.0,94.7
111648,Patriot High,Jurupa Unified,Riverside,499,65,20.0,22.0,21.0,20.0,20.75,27.0,41.54,0.0,0.0,,,,7.0,2.8,2312,2352,1517,1538,1283,1303,0.0,0.0,49.0,20.1,58.6,41.54,0.6561418689999999,0.653911565,0.5549307960000001,0.553996599,244.0,97.2
111716,Jurupa Valley High,Jurupa Unified,Riverside,368,109,18.0,19.0,19.0,19.0,18.75,36.0,33.03,0.0,0.0,,,,4.0,2.5,1660,1695,1214,1237,1050,1073,0.0,0.0,22.0,14.2,49.7,33.03,0.7313253009999999,0.72979351,0.63253012,0.6330383479999999,155.0,96.3
111784,Rubidoux High,Jurupa Unified,Riverside,363,59,18.0,19.0,18.0,18.0,18.25,15.0,25.42,0.0,0.0,,,,2.0,1.2,1518,1572,1241,1283,1097,1136,0.0,0.0,92.0,61.3,56.0,25.42,0.817523057,0.8161577609999999,0.722661397,0.72264631,150.0,92.6
111848,Canyon Springs High,Moreno Valley Unified,Riverside,569,125,18.0,19.0,18.0,18.0,18.25,36.0,28.8,0.0,0.0,,,,9.0,3.2,2169,2226,1613,1653,1407,1442,0.0,0.0,38.0,14.0,60.1,28.8,0.7436606729999999,0.742587601,0.64868603,0.647798742,271.0,95.1
111916,Valley View High,Moreno Valley Unified,Riverside,645,57,20.0,21.0,21.0,20.0,20.5,27.0,47.37,0.0,0.0,,,,11.0,3.4,2543,2629,1837,1897,1603,1651,0.0,0.0,32.0,10.6,47.5,47.37,0.722375147,0.7215671359999999,0.630357845,0.627995436,303.0,95.0
111984,Vista del Lago High,Moreno Valley Unified,Riverside,445,117,16.0,17.0,18.0,17.0,17.0,20.0,17.09,0.0,0.0,,,,7.0,2.8,2010,2063,1626,1668,1490,1529,0.0,0.0,24.0,10.1,1.3,17.09,0.8089552240000001,0.808531265,0.741293532,0.74115366,237.0,96.0
112496,Moreno Valley High,Moreno Valley Unified,Riverside,540,31,19.0,19.0,19.0,20.0,19.25,12.0,38.71,0.0,0.0,,,,10.0,4.1,2253,2338,2012,2087,1876,1944,0.0,0.0,21.0,9.0,58.8,38.71,0.893031514,0.892643285,0.832667554,0.831479897,233.0,94.7
112568,Nuview Bridge Early College High,Nuview Union,Riverside,149,120,19.0,21.0,20.0,19.0,19.75,52.0,43.33,0.0,0.0,,,,1.0,1.1,633,639,415,420,309,314,0.0,0.0,0.0,0.0,85.9,43.33,0.655608215,0.657276995,0.48815165899999996,0.491392801,85.0,97.7
112632,Rancho Mirage High,Palm Springs Unified,Riverside,370,49,19.0,21.0,20.0,20.0,20.0,22.0,44.9,0.0,0.0,,,,2.0,1.0,1560,1589,1178,1199,1010,1030,0.0,0.0,5.0,2.6,58.3,44.9,0.755128205,0.754562618,0.647435897,0.648206419,192.0,98.0
112692,Cathedral City High,Palm Springs Unified,Riverside,406,39,20.0,22.0,20.0,20.0,20.5,15.0,38.46,0.0,0.0,,,,2.0,1.1,1542,1618,1344,1402,1192,1237,0.0,0.0,0.0,0.0,50.3,38.46,0.871595331,0.866501854,0.773022049,0.764524104,171.0,94.5
112756,Desert Hot Springs High,Palm Springs Unified,Riverside,395,75,17.0,18.0,18.0,18.0,17.75,19.0,25.33,0.0,0.0,,,,3.0,1.6,1734,1800,1612,1673,1492,1549,0.0,0.0,2.0,1.1,48.6,25.33,0.929642445,0.929444444,0.860438293,0.8605555559999999,177.0,95.7
112820,Palm Springs High,Palm Springs Unified,Riverside,400,91,20.0,21.0,20.0,21.0,20.5,41.0,45.05,0.0,0.0,,,,0.0,0.0,1718,1755,1318,1341,1182,1204,0.0,0.0,4.0,1.8,60.4,45.05,0.7671711290000001,0.7641025640000001,0.688009313,0.686039886,217.0,99.5
112884,Palo Verde High,Palo Verde Unified,Riverside,163,20,21.0,21.0,22.0,21.0,21.25,11.0,55.0,0.0,0.0,,,,2.0,2.4,838,870,532,552,462,480,0.0,0.0,0.0,0.0,0.0,55.0,0.634844869,0.634482759,0.551312649,0.551724138,82.0,97.6
112956,Paloma Valley High,Perris Union High,Riverside,684,96,20.0,22.0,21.0,21.0,21.0,52.0,54.17,0.0,0.0,,,,7.0,2.3,3106,3191,1614,1673,1251,1301,0.0,0.0,46.0,15.6,53.1,54.17,0.519639408,0.524287057,0.402768835,0.407709182,294.0,96.4
113024,Perris High,Perris Union High,Riverside,554,190,17.0,18.0,18.0,17.0,17.5,31.0,16.32,0.0,0.0,,,,18.0,6.6,2220,2306,1991,2067,1765,1832,0.0,0.0,22.0,8.9,44.7,16.32,0.8968468470000001,0.8963573290000001,0.795045045,0.794449263,246.0,89.8
