sname,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
,Huntington Beach Union High,Orange,4136,870,25,25,25,24,701,80.57,2017-18
Ocean View High,Huntington Beach Union High,Orange,382,80,24,24,22,23,56,70.00,2017-18
Coast High,Huntington Beach Union High,Orange,64,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Edison High,Huntington Beach Union High,Orange,574,199,25,26,25,25,170,85.43,2017-18
Fountain Valley High,Huntington Beach Union High,Orange,941,202,26,26,26,25,176,87.13,2017-18
Huntington Beach High,Huntington Beach Union High,Orange,682,241,25,25,24,24,187,77.59,2017-18
Marina High,Huntington Beach Union High,Orange,589,79,24,25,25,25,63,79.75,2017-18
Westminster High,Huntington Beach Union High,Orange,722,69,21,22,24,22,49,71.01,2017-18
,Laguna Beach Unified,Orange,268,177,28,27,26,26,156,88.14,2017-18
Laguna Beach High,Laguna Beach Unified,Orange,268,177,28,27,26,26,156,88.14,2017-18
,Newport-Mesa Unified,Orange,1691,668,25,25,25,25,516,77.25,2017-18
Early College High,Newport-Mesa Unified,Orange,55,40,22,22,22,22,23,57.50,2017-18
Monte Vista High,Newport-Mesa Unified,Orange,23,1,*,*,*,*,*,*,2017-18
Corona del Mar High,Newport-Mesa Unified,Orange,422,303,28,27,27,27,273,90.10,2017-18
Costa Mesa High,Newport-Mesa Unified,Orange,283,34,22,22,21,22,19,55.88,2017-18
Estancia High,Newport-Mesa Unified,Orange,291,15,24,22,21,22,10,66.67,2017-18
Newport Harbor High,Newport-Mesa Unified,Orange,513,275,24,23,23,23,191,69.45,2017-18
,Orange Unified,Orange,2310,307,26,26,24,24,244,79.48,2017-18
OUSD Home Sch,Orange Unified,Orange,19,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Canyon High,Orange Unified,Orange,572,134,25,25,24,24,106,79.10,2017-18
El Modena High,Orange Unified,Orange,515,60,26,26,25,24,47,78.33,2017-18
Orange High,Orange Unified,Orange,423,6,*,*,*,*,*,*,2017-18
Villa Park High,Orange Unified,Orange,608,107,26,26,25,25,86,80.37,2017-18
,Placentia-Yorba Linda Unified,Orange,2159,532,25,25,25,24,407,76.50,2017-18
Yorba Linda High,Placentia-Yorba Linda Unified,Orange,470,161,25,25,25,24,128,79.50,2017-18
Esperanza High,Placentia-Yorba Linda Unified,Orange,428,86,24,25,25,23,64,74.42,2017-18
La Entrada High,Placentia-Yorba Linda Unified,Orange,40,6,*,*,*,*,*,*,2017-18
El Dorado High,Placentia-Yorba Linda Unified,Orange,464,90,24,24,24,23,69,76.67,2017-18
Valencia High,Placentia-Yorba Linda Unified,Orange,632,186,25,25,26,25,141,75.81,2017-18
Parkview,Placentia-Yorba Linda Unified,Orange,24,3,*,*,*,*,*,*,2017-18
,Santa Ana Unified,Orange,4070,1389,19,20,20,19,495,35.64,2017-18
Nova Academy,Santa Ana Unified,Orange,80,31,19,20,18,18,9,29.03,2017-18
Segerstrom High,Santa Ana Unified,Orange,651,660,16,18,18,17,138,20.91,2017-18
Hector G. Godinez,Santa Ana Unified,Orange,635,164,18,19,20,19,51,31.10,2017-18
Century High,Santa Ana Unified,Orange,408,21,18,19,19,19,7,33.33,2017-18
Middle College High,Santa Ana Unified,Orange,83,70,20,21,20,20,33,47.14,2017-18
OCSA,Santa Ana Unified,Orange,414,228,29,29,26,26,211,92.54,2017-18
Saddleback High,Santa Ana Unified,Orange,344,96,17,18,18,17,19,19.79,2017-18
Santa Ana High,Santa Ana Unified,Orange,581,73,17,18,18,18,17,23.29,2017-18
Valley High,Santa Ana Unified,Orange,424,46,17,18,18,18,10,21.74,2017-18
,Saddleback Valley Unified,Orange,2464,714,25,25,25,24,567,79.41,2017-18
El Toro High,Saddleback Valley Unified,Orange,604,171,23,24,24,24,128,74.85,2017-18
Laguna Hills High,Saddleback Valley Unified,Orange,412,147,25,26,25,24,118,80.27,2017-18
Trabuco Hills High,Saddleback Valley Unified,Orange,707,201,26,26,25,25,170,84.58,2017-18
Mira Monte High (Alternative),Saddleback Valley Unified,Orange,31,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Mission Viejo High,Saddleback Valley Unified,Orange,559,195,25,25,24,24,151,77.44,2017-18
,Tustin Unified,Orange,1875,653,25,25,25,24,483,73.97,2017-18
Arnold O. Beckman High,Tustin Unified,Orange,684,299,28,26,27,26,261,87.29,2017-18
Foothill High,Tustin Unified,Orange,514,175,26,26,26,25,147,84.00,2017-18
Tustin High,Tustin Unified,Orange,595,179,19,20,20,20,75,41.90,2017-18
,Irvine Unified,Orange,2474,1065,29,28,29,27,983,92.30,2017-18
Irvine High,Irvine Unified,Orange,521,157,27,26,28,26,129,82.17,2017-18
Woodbridge High,Irvine Unified,Orange,610,228,28,28,28,27,211,92.54,2017-18
Northwood High,Irvine Unified,Orange,616,322,29,28,29,28,302,93.79,2017-18
University High,Irvine Unified,Orange,663,358,30,29,29,28,341,95.25,2017-18
,Los Alamitos Unified,Orange,831,320,26,26,25,24,259,80.94,2017-18
Los Alamitos High,Los Alamitos Unified,Orange,829,320,26,26,25,24,259,80.94,2017-18
,SBE - Magnolia Science Academy Santa Ana,Orange,14,4,*,*,*,*,*,*,2017-18
Magnolia Science Academy Santa Ana,SBE - Magnolia Science Academy Santa Ana,Orange,14,4,*,*,*,*,*,*,2017-18
       ,     ,Placer,5861,1485,24,25,24,24,1128,75.96,2017-18
,Placer County Office of Education,Placer,78,3,*,*,*,*,*,*,2017-18
CORE Placer Charter,Placer County Office of Education,Placer,34,3,*,*,*,*,*,*,2017-18
,Loomis Union Elementary,Placer,43,16,25,27,24,24,13,81.25,2017-18
John Adams Academy,Loomis Union Elementary,Placer,43,16,25,27,24,24,13,81.25,2017-18
,Placer Union High,Placer,994,233,24,25,24,23,186,79.83,2017-18
Foresthill High,Placer Union High,Placer,41,1,*,*,*,*,*,*,2017-18
Maidu High Independent Study,Placer Union High,Placer,53,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Colfax High,Placer Union High,Placer,146,50,24,26,24,24,44,88.00,2017-18
Del Oro High,Placer Union High,Placer,424,134,23,24,24,23,103,76.87,2017-18
Placer High,Placer Union High,Placer,305,48,24,25,24,23,39,81.25,2017-18
,Roseville Joint Union High,Placer,2614,734,24,25,23,23,534,72.75,2017-18
Antelope High,Roseville Joint Union High,Placer,444,122,21,23,22,22,75,61.48,2017-18
Independence High (Alternative),Roseville Joint Union High,Placer,96,2,*,*,*,*,*,*,2017-18
Woodcreek High,Roseville Joint Union High,Placer,511,122,24,25,24,24,99,81.15,2017-18
Granite Bay High,Roseville Joint Union High,Placer,519,214,26,26,26,25,189,88.32,2017-18
Oakmont High,Roseville Joint Union High,Placer,442,91,23,26,24,24,65,71.43,2017-18
Roseville High,Roseville Joint Union High,Placer,527,183,22,23,22,21,105,57.38,2017-18
,Tahoe-Truckee Unified,Placer,263,67,24,25,23,24,49,73.13,2017-18
North Tahoe High,Tahoe-Truckee Unified,Placer,64,22,25,25,23,23,17,77.27,2017-18
Tahoe Truckee High,Tahoe-Truckee Unified,Placer,160,45,24,24,23,24,32,71.11,2017-18
,Western Placer Unified,Placer,745,67,25,26,24,24,53,79.10,2017-18
Partnerships for Student-Centered Learning,Western Placer Unified,Placer,105,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Horizon Charter,Western Placer Unified,Placer,152,5,*,*,*,*,*,*,2017-18
Lincoln High,Western Placer Unified,Placer,436,62,25,25,24,24,48,77.42,2017-18
,Rocklin Unified,Placer,1123,365,25,25,24,24,291,79.73,2017-18
Whitney High,Rocklin Unified,Placer,436,149,24,24,24,24,111,74.50,2017-18
Western Sierra Collegiate Academy,Rocklin Unified,Placer,119,40,27,27,24,24,33,82.50,2017-18
Rocklin Independent Charter Academy,Rocklin Unified,Placer,51,1,*,*,*,*,*,*,2017-18
Rocklin High,Rocklin Unified,Placer,464,175,25,26,25,25,147,84.00,2017-18
       ,     ,Plumas,166,17,23,24,23,23,13,76.47,2017-18
,Plumas Unified,Plumas,164,17,23,24,23,23,13,76.47,2017-18
Plumas Charter,Plumas Unified,Plumas,34,1,*,*,*,*,*,*,2017-18
Chester Junior/Senior High,Plumas Unified,Plumas,25,7,*,*,*,*,*,*,2017-18
Greenville Junior/Senior High,Plumas Unified,Plumas,12,2,*,*,*,*,*,*,2017-18
Portola Junior/Senior High,Plumas Unified,Plumas,31,1,*,*,*,*,*,*,2017-18
Quincy Junior/Senior High,Plumas Unified,Plumas,49,6,*,*,*,*,*,*,2017-18
       ,     ,Riverside,34298,5732,20,21,20,20,2677,46.70,2017-18
,Riverside County Office of Education,Riverside,1191,10,*,*,*,*,*,*,2017-18
River Springs Charter,Riverside County Office of Education,Riverside,198,10,*,*,*,*,*,*,2017-18
Gateway College and Career Academy,Riverside County Office of Education,Riverside,147,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Riverside County Education Academy - Indio,Riverside County Office of Education,Riverside,17,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
California School for the Deaf-Riverside,California School for the Deaf-Riverside (State Sp,Riverside,80,27,14,16,16,16,3,11.11,2017-18
,Alvord Unified,Riverside,1545,194,19,20,20,19,72,37.11,2017-18
Hillcrest High,Alvord Unified,Riverside,442,29,22,21,23,22,19,65.52,2017-18
La Sierra High,Alvord Unified,Riverside,413,68,19,20,19,19,21,30.88,2017-18
Norte Vista High,Alvord Unified,Riverside,505,97,19,20,19,19,32,32.99,2017-18
,Banning Unified,Riverside,354,58,19,20,20,19,21,36.21,2017-18
Banning High,Banning Unified,Riverside,231,58,19,20,20,19,21,36.21,2017-18
Banning Independent Study,Banning Unified,Riverside,82,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Beaumont Unified,Riverside,672,56,19,21,19,19,28,50.00,2017-18
Beaumont Senior High,Beaumont Unified,Riverside,597,56,19,21,19,19,28,50.00,2017-18
,Corona-Norco Unified,Riverside,4536,928,21,22,21,21,505,54.42,2017-18
Eleanor Roosevelt High,Corona-Norco Unified,Riverside,1019,250,21,22,22,22,147,58.80,2017-18
John F. Kennedy High,Corona-Norco Unified,Riverside,248,72,21,22,21,21,41,56.94,2017-18
Corona-Norco Alternative,Corona-Norco Unified,Riverside,72,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Centennial High,Corona-Norco Unified,Riverside,693,180,20,21,21,21,89,49.44,2017-18
Santiago High,Corona-Norco Unified,Riverside,913,216,22,24,23,23,140,64.81,2017-18
Corona High,Corona-Norco Unified,Riverside,622,128,18,20,19,19,40,31.25,2017-18
Norco High,Corona-Norco Unified,Riverside,459,82,21,22,22,21,48,58.54,2017-18
,Desert Sands Unified,Riverside,2234,335,20,21,20,21,151,45.07,2017-18
Shadow Hills High,Desert Sands Unified,Riverside,466,54,19,19,19,19,14,25.93,2017-18
Palm Desert High,Desert Sands Unified,Riverside,468,103,22,23,22,22,62,60.19,2017-18
La Quinta High,Desert Sands Unified,Riverside,584,113,21,22,21,21,61,53.98,2017-18
Horizon,Desert Sands Unified,Riverside,45,2,*,*,*,*,*,*,2017-18
Indio High,Desert Sands Unified,Riverside,375,62,18,19,17,18,14,22.58,2017-18
Herbert Hoover Elementary,Desert Sands Unified,Riverside,0,1,*,*,*,*,*,*,2017-18
,Hemet Unified,Riverside,1835,157,20,21,20,20,67,42.68,2017-18
Hamilton High,Hemet Unified,Riverside,69,5,*,*,*,*,*,*,2017-18
Tahquitz High,Hemet Unified,Riverside,394,20,20,23,21,21,9,45.00,2017-18
Western Center Academy,Hemet Unified,Riverside,59,31,25,25,25,25,24,77.42,2017-18
Helen Hunt Jackson College Prep High School,Hemet Unified,Riverside,99,1,*,*,*,*,*,*,2017-18
West Valley High,Hemet Unified,Riverside,396,79,18,19,18,19,21,26.58,2017-18
Hemet High,Hemet Unified,Riverside,567,21,20,22,20,20,9,42.86,2017-18
,Jurupa Unified,Riverside,1421,233,19,20,19,19,78,33.48,2017-18
Patriot High,Jurupa Unified,Riverside,499,65,20,22,21,20,27,41.54,2017-18
Rivercrest Preparatory,Jurupa Unified,Riverside,19,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Jurupa Valley High,Jurupa Unified,Riverside,368,109,18,19,19,19,36,33.03,2017-18
Rubidoux High,Jurupa Unified,Riverside,363,59,18,19,18,18,15,25.42,2017-18
,Menifee Union Elementary,Riverside,139,31,22,23,22,22,19,61.29,2017-18
Santa Rosa Academy,Menifee Union Elementary,Riverside,139,31,22,23,22,22,19,61.29,2017-18
,Moreno Valley Unified,Riverside,2594,331,18,19,19,18,96,29.00,2017-18
Moreno Valley Online Academy,Moreno Valley Unified,Riverside,80,1,*,*,*,*,*,*,2017-18
Canyon Springs High,Moreno Valley Unified,Riverside,569,125,18,19,18,18,36,28.80,2017-18
Valley View High,Moreno Valley Unified,Riverside,645,57,20,21,21,20,27,47.37,2017-18
Vista del Lago High,Moreno Valley Unified,Riverside,445,117,16,17,18,17,20,17.09,2017-18
Moreno Valley High,Moreno Valley Unified,Riverside,540,31,19,19,19,20,12,38.71,2017-18
,Nuview Union,Riverside,149,120,19,21,20,19,52,43.33,2017-18
Nuview Bridge Early College High,Nuview Union,Riverside,149,120,19,21,20,19,52,43.33,2017-18
,Palm Springs Unified,Riverside,1872,255,19,20,19,20,97,38.04,2017-18
Rancho Mirage High,Palm Springs Unified,Riverside,370,49,19,21,20,20,22,44.90,2017-18
Desert Learning Academy,Palm Springs Unified,Riverside,36,1,*,*,*,*,*,*,2017-18
Cathedral City High,Palm Springs Unified,Riverside,406,39,20,22,20,20,15,38.46,2017-18
Desert Hot Springs High,Palm Springs Unified,Riverside,395,75,17,18,18,18,19,25.33,2017-18
Palm Springs High,Palm Springs Unified,Riverside,400,91,20,21,20,21,41,45.05,2017-18
,Palo Verde Unified,Riverside,231,20,21,21,22,21,11,55.00,2017-18
Palo Verde High,Palo Verde Unified,Riverside,163,20,21,21,22,21,11,55.00,2017-18
,Perris Union High,Riverside,2216,472,18,19,19,18,146,30.93,2017-18
California Military Institute,Perris Union High,Riverside,104,6,*,*,*,*,*,*,2017-18
Heritage High,Perris Union High,Riverside,653,180,18,19,19,19,61,33.89,2017-18
Educational Options,Perris Union High,Riverside,19,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Paloma Valley High,Perris Union High,Riverside,684,96,20,22,21,21,52,54.17,2017-18
Perris High,Perris Union High,Riverside,554,190,17,18,18,17,31,16.32,2017-18
,Riverside Unified,Riverside,3313,663,20,21,21,20,300,45.25,2017-18
Riverside Virtual,Riverside Unified,Riverside,13,3,*,*,*,*,*,*,2017-18
Riverside STEM Academy,Riverside Unified,Riverside,44,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Encore High School for the Arts - Riverside,Riverside Unified,Riverside,75,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Arlington High,Riverside Unified,Riverside,473,131,19,20,19,19,43,32.82,2017-18
Summit View Independent Study,Riverside Unified,Riverside,147,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Martin Luther King Jr. High,Riverside Unified,Riverside,784,144,23,24,24,23,100,69.44,2017-18
John W. North High,Riverside Unified,Riverside,509,194,18,19,20,19,71,36.60,2017-18
Polytechnic High,Riverside Unified,Riverside,594,95,21,21,21,20,48,50.53,2017-18
Ramona High,Riverside Unified,Riverside,464,96,18,20,19,19,35,36.46,2017-18
,San Jacinto Unified,Riverside,806,55,19,20,19,19,22,40.00,2017-18
Mountain Heights Academy,San Jacinto Unified,Riverside,61,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
San Jacinto High,San Jacinto Unified,Riverside,543,35,20,21,20,19,15,42.86,2017-18
San Jacinto Valley Academy,San Jacinto Unified,Riverside,53,20,18,19,18,18,7,35.00,2017-18
,Coachella Valley Unified,Riverside,1316,256,17,18,18,17,44,17.19,2017-18
Desert Mirage High,Coachella Valley Unified,Riverside,490,135,16,17,17,17,13,9.63,2017-18
NOVA Academy - Coachella,Coachella Valley Unified,Riverside,47,6,*,*,*,*,*,*,2017-18
West Shores High,Coachella Valley Unified,Riverside,60,10,*,*,*,*,*,*,2017-18
Coachella Valley High,Coachella Valley Unified,Riverside,629,105,18,19,18,18,28,26.67,2017-18
,Lake Elsinore Unified,Riverside,1590,222,20,21,21,21,114,51.35,2017-18
Lakeside High,Lake Elsinore Unified,Riverside,390,112,19,20,19,20,43,38.39,2017-18
Keith McCarthy Academy,Lake Elsinore Unified,Riverside,47,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Temescal Canyon High,Lake Elsinore Unified,Riverside,528,77,22,23,23,23,50,64.94,2017-18
Elsinore High,Lake Elsinore Unified,Riverside,450,33,21,22,22,22,21,63.64,2017-18
,Temecula Valley Unified,Riverside,2534,680,23,24,22,23,461,67.79,2017-18
Great Oak High,Temecula Valley Unified,Riverside,802,272,23,24,23,23,182,66.91,2017-18
Temecula Valley High,Temecula Valley Unified,Riverside,669,219,22,24,22,22,149,68.04,2017-18
Susan H. Nelson,Temecula Valley Unified,Riverside,97,1,*,*,*,*,*,*,2017-18
Chaparral High,Temecula Valley Unified,Riverside,811,150,22,23,22,22,98,65.33,2017-18
Temecula Preparatory,Temecula Valley Unified,Riverside,64,38,25,25,23,23,32,84.21,2017-18
,Murrieta Valley Unified,Riverside,2074,555,22,24,22,22,356,64.14,2017-18
Vista Murrieta High,Murrieta Valley Unified,Riverside,824,161,23,24,23,22,122,75.78,2017-18
Murrieta Canyon Academy,Murrieta Valley Unified,Riverside,108,3,*,*,*,*,*,*,2017-18
Murrieta Mesa High,Murrieta Valley Unified,Riverside,565,217,21,22,21,21,105,48.39,2017-18
Murrieta Valley High,Murrieta Valley Unified,Riverside,575,174,24,25,22,23,128,73.56,2017-18
,Val Verde Unified,Riverside,1590,74,18,20,19,19,28,37.84,2017-18
Citrus Hill High,Val Verde Unified,Riverside,548,28,17,19,18,19,8,28.57,2017-18
Val Verde Academy,Val Verde Unified,Riverside,22,1,*,*,*,*,*,*,2017-18
Rancho Verde High,Val Verde Unified,Riverside,786,45,19,20,20,19,19,42.22,2017-18
       ,     ,Sacramento,19318,4045,20,21,21,21,2032,50.23,2017-18
,Elk Grove Unified,Sacramento,4915,1179,22,23,23,22,720,61.07,2017-18
Monterey Trail High,Elk Grove Unified,Sacramento,516,145,20,21,21,21,68,46.90,2017-18
Pleasant Grove High,Elk Grove Unified,Sacramento,568,207,24,24,25,24,166,80.19,2017-18
Cosumnes Oaks High,Elk Grove Unified,Sacramento,576,197,22,23,23,22,128,64.97,2017-18
Valley High,Elk Grove Unified,Sacramento,342,93,18,19,19,19,25,26.88,2017-18
Las Flores High (Alternative),Elk Grove Unified,Sacramento,74,2,*,*,*,*,*,*,2017-18
Florin High,Elk Grove Unified,Sacramento,331,75,17,18,19,18,23,30.67,2017-18
Laguna Creek High,Elk Grove Unified,Sacramento,420,94,23,24,23,24,65,69.15,2017-18
Sheldon High,Elk Grove Unified,Sacramento,554,99,22,23,22,22,60,60.61,2017-18
Franklin High,Elk Grove Unified,Sacramento,634,140,24,24,24,23,103,73.57,2017-18
Elk Grove High,Elk Grove Unified,Sacramento,446,126,22,23,23,22,81,64.29,2017-18
Elk Grove Charter,Elk Grove Unified,Sacramento,89,1,*,*,*,*,*,*,2017-18
,Elverta Joint Elementary,Sacramento,10,1,*,*,*,*,*,*,2017-18
Alpha Charter,Elverta Joint Elementary,Sacramento,10,1,*,*,*,*,*,*,2017-18
,Folsom-Cordova Unified,Sacramento,1553,281,27,27,27,26,251,89.32,2017-18
Vista del Lago High,Folsom-Cordova Unified,Sacramento,408,117,28,28,27,26,108,92.31,2017-18
Walnutwood High (Independent Study),Folsom-Cordova Unified,Sacramento,56,1,*,*,*,*,*,*,2017-18
Cordova High,Folsom-Cordova Unified,Sacramento,406,33,23,23,23,23,23,69.70,2017-18
Folsom High,Folsom-Cordova Unified,Sacramento,563,130,28,28,27,27,119,91.54,2017-18
,Galt Joint Union High,Sacramento,546,102,20,22,21,21,51,50.00,2017-18
Liberty Ranch High,Galt Joint Union High,Sacramento,296,58,21,22,22,21,32,55.17,2017-18
Galt High,Galt Joint Union High,Sacramento,231,44,19,21,21,21,19,43.18,2017-18
,River Delta Joint Unified,Sacramento,140,29,19,21,19,19,11,37.93,2017-18
Rio Vista High,River Delta Joint Unified,Sacramento,67,15,18,18,19,18,3,20.00,2017-18
Delta High,River Delta Joint Unified,Sacramento,55,14,*,*,*,*,*,*,2017-18
Paseo Grande Charter,Robla Elementary,Sacramento,15,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Sacramento City Unified,Sacramento,3159,765,19,20,20,19,311,40.65,2017-18
New Technology High,Sacramento City Unified,Sacramento,36,1,*,*,*,*,*,*,2017-18
George Washington Carver School of Arts and Scienc,Sacramento City Unified,Sacramento,61,10,*,*,*,*,*,*,2017-18
The MET,Sacramento City Unified,Sacramento,60,1,*,*,*,*,*,*,2017-18
Rosemont High,Sacramento City Unified,Sacramento,320,56,19,21,21,20,25,44.64,2017-18
Sacramento Charter High,Sacramento City Unified,Sacramento,162,168,17,17,18,17,35,20.83,2017-18
Arthur A. Benjamin Health Professions High,Sacramento City Unified,Sacramento,37,7,*,*,*,*,*,*,2017-18
School of Engineering & Sciences,Sacramento City Unified,Sacramento,54,4,*,*,*,*,*,*,2017-18
Capital City Independent Study,Sacramento City Unified,Sacramento,104,1,*,*,*,*,*,*,2017-18
West Campus,Sacramento City Unified,Sacramento,225,88,23,24,23,23,60,68.18,2017-18
Luther Burbank High,Sacramento City Unified,Sacramento,406,144,15,17,17,17,17,11.81,2017-18
Hiram W. Johnson High,Sacramento City Unified,Sacramento,366,55,17,17,19,18,14,25.45,2017-18
John F. Kennedy High,Sacramento City Unified,Sacramento,488,106,22,23,22,21,60,56.60,2017-18
C. K. McClatchy High,Sacramento City Unified,Sacramento,527,122,24,25,24,23,89,72.95,2017-18
Kit Carson International Academy,Sacramento City Unified,Sacramento,24,2,*,*,*,*,*,*,2017-18
,San Juan Unified,Sacramento,4342,581,24,25,24,24,421,72.46,2017-18
Aspire Alexander Twilight Secondary Academy,San Juan Unified,Sacramento,17,17,16,17,17,18,3,17.65,2017-18
Mesa Verde High,San Juan Unified,Sacramento,214,41,20,22,21,21,23,56.10,2017-18
El Sereno Alternative Education,San Juan Unified,Sacramento,120,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Bella Vista High,San Juan Unified,Sacramento,443,94,25,26,26,25,83,88.30,2017-18
Options for Youth-San Juan,San Juan Unified,Sacramento,187,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Visions In Education,San Juan Unified,Sacramento,1000,25,24,25,20,22,19,76.00,2017-18
San Juan Choices Charter,San Juan Unified,Sacramento,77,2,*,*,*,*,*,*,2017-18
Casa Roble Fundamental High,San Juan Unified,Sacramento,269,48,22,24,22,22,30,62.50,2017-18
Del Campo High,San Juan Unified,Sacramento,395,61,21,22,21,21,32,52.46,2017-18
El Camino Fundamental High,San Juan Unified,Sacramento,287,44,22,22,23,22,28,63.64,2017-18
Encina Preparatory High,San Juan Unified,Sacramento,167,2,*,*,*,*,*,*,2017-18
Mira Loma High,San Juan Unified,Sacramento,400,97,29,29,30,28,91,93.81,2017-18
Rio Americano High,San Juan Unified,Sacramento,396,118,27,27,26,26,105,88.98,2017-18
San Juan High,San Juan Unified,Sacramento,165,32,16,17,18,16,7,21.88,2017-18
,Center Joint Unified,Sacramento,322,12,*,*,*,*,*,*,2017-18
Center High,Center Joint Unified,Sacramento,290,12,*,*,*,*,*,*,2017-18
,Natomas Unified,Sacramento,1117,867,16,17,17,17,189,21.80,2017-18
Inderkum High,Natomas Unified,Sacramento,484,480,16,18,18,17,107,22.29,2017-18
Natomas Pacific Pathways Prep,Natomas Unified,Sacramento,141,29,23,23,22,21,19,65.52,2017-18
Leroy Greene Academy,Natomas Unified,Sacramento,81,86,17,19,18,19,25,29.07,2017-18
Natomas High,Natomas Unified,Sacramento,216,190,13,14,16,15,14,7.37,2017-18
Discovery High,Natomas Unified,Sacramento,80,47,12,14,14,13,2,4.26,2017-18
Natomas Charter,Natomas Unified,Sacramento,114,35,22,21,21,19,22,62.86,2017-18
,Twin Rivers Unified,Sacramento,2762,228,18,19,19,18,72,31.58,2017-18
Futures High,Twin Rivers Unified,Sacramento,87,7,*,*,*,*,*,*,2017-18
Heritage Peak Charter,Twin Rivers Unified,Sacramento,109,5,*,*,*,*,*,*,2017-18
Creative Connections Arts Academy,Twin Rivers Unified,Sacramento,28,3,*,*,*,*,*,*,2017-18
Community Collaborative Charter,Twin Rivers Unified,Sacramento,179,4,*,*,*,*,*,*,2017-18
SAVA: Sacramento Academic and Vocational Academy,Twin Rivers Unified,Sacramento,402,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Highlands Community Charter,Twin Rivers Unified,Sacramento,358,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Elwood J. Keema High,Twin Rivers Unified,Sacramento,175,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Foothill High,Twin Rivers Unified,Sacramento,229,23,20,22,20,20,10,43.48,2017-18
Grant Union High,Twin Rivers Unified,Sacramento,377,81,17,18,18,17,19,23.46,2017-18
Highlands High,Twin Rivers Unified,Sacramento,151,45,17,18,19,18,13,28.89,2017-18
Rio Linda High,Twin Rivers Unified,Sacramento,376,60,18,19,20,19,22,36.67,2017-18
       ,     ,San Benito,856,141,21,23,22,22,79,56.03,2017-18
,San Benito High,San Benito,761,140,21,23,22,22,78,55.71,2017-18
San Benito High,San Benito High,San Benito,719,140,21,23,22,22,78,55.71,2017-18
,Aromas/San Juan Unified,San Benito,93,1,*,*,*,*,*,*,2017-18
Anzar High,Aromas/San Juan Unified,San Benito,93,1,*,*,*,*,*,*,2017-18
       ,     ,San Bernardino,31506,6146,17,19,19,18,1903,30.96,2017-18
Taylion High Desert Academy/Adelanto,Adelanto Elementary,San Bernardino,108,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Barstow Unified,San Bernardino,377,26,17,18,19,19,6,23.08,2017-18
Barstow High,Barstow Unified,San Bernardino,305,26,17,18,19,19,6,23.08,2017-18
,Bear Valley Unified,San Bernardino,195,22,23,24,24,24,17,77.27,2017-18
Big Bear High,Bear Valley Unified,San Bernardino,172,22,23,24,24,24,17,77.27,2017-18
,Chaffey Joint Union High,San Bernardino,6014,840,20,21,22,21,422,50.24,2017-18
Chaffey District Online High,Chaffey Joint Union High,San Bernardino,38,4,*,*,*,*,*,*,2017-18
Alta Loma High,Chaffey Joint Union High,San Bernardino,588,47,21,22,22,21,24,51.06,2017-18
Etiwanda High,Chaffey Joint Union High,San Bernardino,889,97,21,21,21,21,52,53.61,2017-18
Rancho Cucamonga High,Chaffey Joint Union High,San Bernardino,816,105,23,24,24,23,67,63.81,2017-18
Los Osos High,Chaffey Joint Union High,San Bernardino,820,141,23,23,24,23,97,68.79,2017-18
Colony High,Chaffey Joint Union High,San Bernardino,472,64,20,20,20,20,28,43.75,2017-18
Chaffey High,Chaffey Joint Union High,San Bernardino,809,55,20,21,21,20,28,50.91,2017-18
Montclair High,Chaffey Joint Union High,San Bernardino,672,233,18,20,20,19,87,37.34,2017-18
Ontario High,Chaffey Joint Union High,San Bernardino,568,94,18,19,20,18,37,39.36,2017-18
,Chino Valley Unified,San Bernardino,2459,297,24,24,24,23,217,73.06,2017-18
Don Antonio Lugo High,Chino Valley Unified,San Bernardino,416,24,20,21,21,21,14,58.33,2017-18
Ruben S. Ayala High,Chino Valley Unified,San Bernardino,650,99,25,25,26,24,81,81.82,2017-18
Chino Hills High,Chino Valley Unified,San Bernardino,709,135,24,24,24,23,101,74.81,2017-18
