sname,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
,Acalanes Union High,Contra Costa,1426,768,29,29,27,27,718,93.49,2017-18
Acalanes Center for Independent Study,Acalanes Union High,Contra Costa,15,1,*,*,*,*,*,*,2017-18
Acalanes High,Acalanes Union High,Contra Costa,371,193,28,28,27,27,184,95.34,2017-18
Campolindo High,Acalanes Union High,Contra Costa,317,216,30,29,28,28,202,93.52,2017-18
Las Lomas High,Acalanes Union High,Contra Costa,381,170,26,26,26,25,149,87.65,2017-18
Miramonte High,Acalanes Union High,Contra Costa,338,188,30,30,28,28,182,96.81,2017-18
,Antioch Unified,Contra Costa,1507,169,20,22,20,21,83,49.11,2017-18
Dozier-Libbey Medical High,Antioch Unified,Contra Costa,135,39,21,23,20,21,20,51.28,2017-18
Prospects High (Alternative),Antioch Unified,Contra Costa,150,2,*,*,*,*,*,*,2017-18
Deer Valley High,Antioch Unified,Contra Costa,618,82,22,23,22,22,49,59.76,2017-18
Antioch High,Antioch Unified,Contra Costa,351,46,18,20,18,19,14,30.43,2017-18
Vista Oaks Charter,Byron Union Elementary,Contra Costa,76,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,John Swett Unified,Contra Costa,145,18,20,21,21,19,10,55.56,2017-18
John Swett High,John Swett Unified,Contra Costa,129,18,20,21,21,19,10,55.56,2017-18
,Liberty Union High,Contra Costa,2117,342,21,23,21,22,198,57.89,2017-18
Heritage High,Liberty Union High,Contra Costa,614,135,23,24,22,23,99,73.33,2017-18
Freedom High,Liberty Union High,Contra Costa,596,97,20,22,19,20,42,43.30,2017-18
Independence High,Liberty Union High,Contra Costa,169,1,*,*,*,*,*,*,2017-18
Liberty High,Liberty Union High,Contra Costa,606,109,21,22,21,22,56,51.38,2017-18
,Martinez Unified,Contra Costa,321,42,23,24,23,24,29,69.05,2017-18
Briones (Alternative),Martinez Unified,Contra Costa,19,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Alhambra Senior High,Martinez Unified,Contra Costa,264,42,23,24,23,24,29,69.05,2017-18
,Mt. Diablo Unified,Contra Costa,2263,449,24,25,24,23,337,75.06,2017-18
Northgate High,Mt. Diablo Unified,Contra Costa,413,225,26,26,25,25,193,85.78,2017-18
Horizons School: Independent Study,Mt. Diablo Unified,Contra Costa,59,2,*,*,*,*,*,*,2017-18
College Park High,Mt. Diablo Unified,Contra Costa,479,138,24,25,24,23,106,76.81,2017-18
Concord High,Mt. Diablo Unified,Contra Costa,383,58,21,22,21,21,30,51.72,2017-18
Mt. Diablo High,Mt. Diablo Unified,Contra Costa,303,15,16,19,18,17,2,13.33,2017-18
Ygnacio Valley High,Mt. Diablo Unified,Contra Costa,281,11,*,*,*,*,*,*,2017-18
,Pittsburg Unified,Contra Costa,856,129,18,20,19,20,47,36.43,2017-18
Pittsburg Senior High,Pittsburg Unified,Contra Costa,709,129,18,20,19,20,47,36.43,2017-18
,West Contra Costa Unified,Contra Costa,2381,529,18,19,19,18,156,29.49,2017-18
Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,125,120,15,16,17,16,14,11.67,2017-18
Aspire Richmond Ca. College Preparatory Academy,West Contra Costa Unified,Contra Costa,52,74,15,16,16,17,10,13.51,2017-18
John Henry High,West Contra Costa Unified,Contra Costa,26,9,*,*,*,*,*,*,2017-18
Middle College High,West Contra Costa Unified,Contra Costa,72,6,*,*,*,*,*,*,2017-18
Vista High (Alternative),West Contra Costa Unified,Contra Costa,47,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Hercules High,West Contra Costa Unified,Contra Costa,240,46,23,24,22,22,32,69.57,2017-18
De Anza High,West Contra Costa Unified,Contra Costa,336,54,17,18,18,18,13,24.07,2017-18
El Cerrito High,West Contra Costa Unified,Contra Costa,370,77,23,24,23,23,48,62.34,2017-18
John F. Kennedy High,West Contra Costa Unified,Contra Costa,232,16,16,16,16,17,0,0.00,2017-18
Pinole Valley High,West Contra Costa Unified,Contra Costa,277,57,19,20,20,19,27,47.37,2017-18
Richmond High,West Contra Costa Unified,Contra Costa,356,70,16,17,17,17,5,7.14,2017-18
,San Ramon Valley Unified,Contra Costa,2601,1296,28,28,27,27,1176,90.74,2017-18
Dougherty Valley High,San Ramon Valley Unified,Contra Costa,780,366,31,30,30,29,350,95.63,2017-18
California High,San Ramon Valley Unified,Contra Costa,644,266,27,27,27,26,236,88.72,2017-18
Venture (Alternative),San Ramon Valley Unified,Contra Costa,71,8,*,*,*,*,*,*,2017-18
Monte Vista High,San Ramon Valley Unified,Contra Costa,556,317,28,27,26,26,278,87.70,2017-18
San Ramon Valley High,San Ramon Valley Unified,Contra Costa,515,339,27,27,26,26,305,89.97,2017-18
       ,     ,Del Norte,388,4,*,*,*,*,*,*,2017-18
Castle Rock,Del Norte County Office of Education,Del Norte,120,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Del Norte County Unified,Del Norte,254,4,*,*,*,*,*,*,2017-18
Del Norte High,Del Norte County Unified,Del Norte,217,4,*,*,*,*,*,*,2017-18
       ,     ,El Dorado,2167,572,24,25,24,24,445,77.80,2017-18
,El Dorado County Office of Education,El Dorado,150,2,*,*,*,*,*,*,2017-18
Charter Community School Home Study Academy,El Dorado County Office of Education,El Dorado,82,2,*,*,*,*,*,*,2017-18
Clarksville Charter,Buckeye Union Elementary,El Dorado,25,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,El Dorado Union High,El Dorado,1630,500,24,25,25,24,393,78.60,2017-18
Oak Ridge High,El Dorado Union High,El Dorado,578,230,26,26,27,25,202,87.83,2017-18
Union Mine High,El Dorado Union High,El Dorado,239,66,23,23,23,23,48,72.73,2017-18
EDUHSD Virtual Academy at Shenandoah,El Dorado Union High,El Dorado,23,1,*,*,*,*,*,*,2017-18
El Dorado High,El Dorado Union High,El Dorado,302,77,22,24,22,23,54,70.13,2017-18
Ponderosa High,El Dorado Union High,El Dorado,420,126,22,24,24,24,89,70.63,2017-18
,Lake Tahoe Unified,El Dorado,262,61,23,24,22,23,41,67.21,2017-18
South Tahoe High,Lake Tahoe Unified,El Dorado,214,61,23,24,22,23,41,67.21,2017-18
,Black Oak Mine Unified,El Dorado,100,9,*,*,*,*,*,*,2017-18
Golden Sierra Junior Senior High,Black Oak Mine Unified,El Dorado,82,9,*,*,*,*,*,*,2017-18
       ,     ,Fresno,14254,2168,20,21,20,20,964,44.46,2017-18
,Fresno County Office of Education,Fresno,293,7,*,*,*,*,*,*,2017-18
Crescent View West Public Charter,Fresno County Office of Education,Fresno,114,1,*,*,*,*,*,*,2017-18
Hume Lake Charter,Fresno County Office of Education,Fresno,6,1,*,*,*,*,*,*,2017-18
Big Picture Educational Academy,Fresno County Office of Education,Fresno,17,5,*,*,*,*,*,*,2017-18
,Clovis Unified,Fresno,3428,613,24,24,24,23,459,74.88,2017-18
Clovis North High,Clovis Unified,Fresno,590,144,26,26,27,26,130,90.28,2017-18
Clovis Online Charter,Clovis Unified,Fresno,135,4,*,*,*,*,*,*,2017-18
Clovis West High,Clovis Unified,Fresno,502,101,24,24,24,23,77,76.24,2017-18
Enterprise Alternative,Clovis Unified,Fresno,20,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Buchanan High,Clovis Unified,Fresno,671,156,24,25,24,24,118,75.64,2017-18
Clovis East High,Clovis Unified,Fresno,561,80,21,22,21,21,46,57.50,2017-18
Clovis High,Clovis Unified,Fresno,811,128,22,23,22,22,84,65.63,2017-18
